n,tiempo,memoria
286,0.00010030000703409314,632
287,9.919999865815043e-05,636
288,9.869999485090375e-05,640
289,0.00010040000779554248,640
290,0.00010390000534243882,644
291,0.00010540001676417887,648
292,0.00010910001583397388,648
293,0.00010800000745803118,648
294,0.00010720000136643648,652
295,0.00011310001718811691,656
296,0.00010599999222904444,656
297,0.00010629999451339245,656
298,0.00010730000212788582,660
299,0.00011890000314451754,664
300,0.00011160000576637685,664
301,0.00020179999410174787,668
302,0.00014459999511018395,672
303,0.00012290000449866056,672
304,0.0001553000183776021,672
305,0.00017839999054558575,676
306,0.00019290001364424825,680
307,0.00019710001652128994,680
308,0.00015050001093186438,680
309,0.0002182000025641173,684
310,0.00026630001957528293,688
311,0.000198300025658682,688
312,0.00017079999088309705,692
313,0.0001748999929986894,696
314,0.00018129998352378607,696
315,0.0001632000203244388,696
316,0.0001330000231973827,700
317,0.00011860000086016953,704
318,0.00011709998943842947,704
319,0.00011970000923611224,708
320,0.00012489999062381685,712
321,0.0001215000229422003,712
322,0.00012839998817071319,712
323,0.00012589999823831022,716
324,0.00012250000145286322,720
325,0.00013380000018514693,720
326,0.00019469999824650586,720
327,0.00018530001398175955,724
328,0.0001846000086516142,728
329,0.00018550001550465822,728
330,0.00018060000729747117,732
331,0.00018419997650198638,736
332,0.00018309999722987413,736
333,0.0001965999836102128,736
334,0.00018829997861757874,740
335,0.00020069998572580516,744
336,0.00018820000695995986,744
337,0.00021920001017861068,748
338,0.00020209999638609588,752
339,0.00019030002295039594,752
340,0.0002001000102609396,752
341,0.00018970001838169992,756
342,0.00023010000586509705,760
343,0.0002552000223658979,760
344,0.00012859998969361186,760
345,0.0001255999959539622,764
346,0.0001260999997612089,768
347,0.0001299000286962837,768
348,0.00013100000796839595,772
349,0.0001272000081371516,776
350,0.00012760001118294895,776
351,0.00012889999197795987,776
352,0.00012779998360201716,780
353,0.00012849998893216252,784
354,0.00012939999578520656,784
355,0.00013910001143813133,788
356,0.00025270000332966447,792
357,0.00017680000746622682,792
358,0.0001393999846186489,792
359,0.00014399999054148793,796
360,0.00014779999037273228,800
361,0.0001466000103391707,800
362,0.00014689998351968825,804
363,0.00014200000441633165,808
364,0.00013649999164044857,808
365,0.00013719999697059393,808
366,0.00014640000881627202,812
367,0.00013760000001639128,816
368,0.00013830000534653664,816
369,0.00013839997700415552,820
370,0.00013979998766444623,824
371,0.00013979998766444623,824
372,0.00014000001829117537,824
373,0.00013910001143813133,828
374,0.00021810000180266798,832
375,0.00015390000771731138,832
376,0.00015750000602565706,836
377,0.00015480001457035542,840
378,0.00015400000847876072,840
379,0.00019779999274760485,840
380,0.0001568000006955117,844
381,0.0001561000244691968,848
382,0.00017260000458918512,848
383,0.00015800000983290374,852
384,0.00016240001423284411,856
385,0.0001585999852977693,856
386,0.0002768999838735908,856
387,0.00017049998859874904,860
388,0.00016120000509545207,864
389,0.0006407999899238348,864
390,0.00018440000712871552,868
391,0.00016820000018924475,872
392,0.0001939999929163605,872
393,0.00016429999959655106,872
394,0.0001584000128787011,876
395,0.00017220000154338777,880
396,0.00016120000509545207,880
397,0.0001694000093266368,884
398,0.00016540000797249377,888
399,0.00025630000163801014,888
400,0.00017340001068077981,888
401,0.00016639998648315668,892
402,0.00016739999409765005,896
403,0.00017300000763498247,896
404,0.00016900000628083944,900
405,0.00017400001524947584,904
406,0.00017479999223724008,904
407,0.00017189999925903976,904
408,0.00017579999985173345,908
409,0.00018210001871921122,912
410,0.00020179999410174787,912
411,0.00018810000619851053,916
412,0.00018780000391416252,920
413,0.00024649998522363603,920
414,0.0002007999864872545,920
415,0.00021070000366307795,924
416,0.0002607000060379505,928
417,0.0003339999821037054,928
418,0.0003107000084128231,932
419,0.0003225000109523535,936
420,0.00031519998447038233,936
421,0.00030980000155977905,936
422,0.00030499999411404133,940
423,0.00020680000307038426,944
424,0.00021440000273287296,944
425,0.00019779999274760485,948
426,0.00021570001263171434,952
427,0.00019160000374540687,952
428,0.0002009000163525343,956
429,0.00019200000679120421,960
430,0.00019970000721514225,960
431,0.00024800002574920654,960
432,0.0003276999923400581,964
433,0.00020559999393299222,968
434,0.00020640000002458692,968
435,0.00018999999156221747,972
436,0.00019990000873804092,976
437,0.00019310001516714692,976
438,0.0002108000044245273,976
439,0.00019379999139346182,980
440,0.00020539999241009355,984
441,0.00019180000526830554,984
442,0.00019339998834766448,988
443,0.0002043000131379813,992
444,0.00019729998894035816,992
445,0.00019910000264644623,992
446,0.0001956000050995499,996
447,0.00020209999638609588,1000
448,0.00019329998758621514,1000
449,0.00019829999655485153,1004
450,0.0002001000102609396,1008
451,0.00019970000721514225,1008
452,0.00019910000264644623,1012
453,0.0002497999812476337,1016
454,0.0002023999986704439,1016
455,0.00021090000518597662,1016
456,0.00020029998268000782,1020
457,0.00021019999985583127,1024
458,0.00019970000721514225,1024
459,0.00020979999681003392,1028
460,0.00021190001280047,1032
461,0.00020110001787543297,1032
462,0.0002108000044245273,1032
463,0.0001990000018849969,1036
464,0.00020420001237653196,1040
465,0.00019829999655485153,1040
466,0.00020330000552348793,1044
467,0.00020399998174980283,1048
468,0.00020750000840052962,1048
469,0.00020050001330673695,1052
470,0.00020509999012574553,1056
471,0.0002032000047620386,1056
472,0.00021210001432336867,1056
473,0.00020399998174980283,1060
474,0.0002091999922413379,1064
475,0.00020420001237653196,1064
476,0.00021769999875687063,1068
477,0.00020559999393299222,1072
478,0.00021090000518597662,1072
479,0.00020810001296922565,1076
480,0.000212200015084818,1080
481,0.00021440000273287296,1080
482,0.00021460000425577164,1080
483,0.00020989999757148325,1084
484,0.00021520000882446766,1088
485,0.00021539998124353588,1088
486,0.000222100003156811,1092
487,0.00021410000044852495,1096
488,0.00021739999647252262,1096
489,0.0002133999951183796,1096
490,0.00023960001999512315,1100
491,0.00022159999934956431,1104
492,0.0002243999915663153,1104
493,0.000239099987084046,1108
494,0.0002285000227857381,1112
495,0.000232299993513152,1112
496,0.0002232000115327537,1116
497,0.00023020000662654638,1120
498,0.0002195000124629587,1120
499,0.0002367999986745417,1120
